internal_id,player_name,first_name,last_name,team,fa_class,position,normed_position,minor_league_level
525,Tyler Badamo,Tyler,Badamo,ARI,2018,RHP,pitcher,SS
239,J.R. Bradley,J.R.,Bradley,ARI,2018,RHP,pitcher,AA
189,Erik Davis,Erik,Davis,ARI,2018,RHP,pitcher,AAA
130,Damian Defrank,Damian,Defrank,ARI,2018,RHP,pitcher,R
399,Miller Diaz,Miller,Diaz,ARI,2018,RHP,pitcher,AA
309,Julio Perez,Julio,Perez,ARI,2018,RHP,pitcher,Lo A
236,Ivan Pineyro,Ivan,Pineyro,ARI,2018,RHP,pitcher,AA
536,Tyler Vail,Tyler,Vail,ARI,2018,RHP,pitcher,SS
186,Eric Jokisch,Eric,Jokisch,ARI,2018,LHP,pitcher,AAA
3,Aaron Laffey,Aaron,Laffey,ARI,2018,LHP,pitcher,AAA
90,Cesilio Pimentel,Cesilio,Pimentel,ARI,2018,LHP,pitcher,R
552,Willians Astudillo,Willians,Astudillo,ARI,2018,C,batter,AAA
428,Oscar Hernandez,Oscar,Hernandez,ARI,2018,C,batter,AA
30,Angel Franco,Angel,Franco,ARI,2018,2B,batter,AAA
136,Danny Lockhart,Danny,Lockhart,ARI,2018,2B,batter,AA
520,Travis Denker,Travis,Denker,ARI,2018,3B,batter,AA
293,Jorge Flores,Jorge,Flores,ARI,2018,SS,batter,Hi A
544,Vladimir Frias,Vladimir,Frias,ARI,2018,SS,batter,AA
429,Oswaldo Arcia,Oswaldo,Arcia,ARI,2018,OF,batter,AAA
181,Emilio Bonifacio,Emilio,Bonifacio,ARI,2018,OF,batter,AAA
570,Zach Borenstein,Zach,Borenstein,ARI,2018,OF,batter,AAA
319,Kelly Dugan,Kelly,Dugan,ARI,2018,OF,batter,AA
184,Enrique Burgos,Enrique,Burgos,ATL,2018,RHP,pitcher,AAA
455,Rhiner Cruz,Rhiner,Cruz,ATL,2018,RHP,pitcher,AAA
333,Kris Medlen,Kris,Medlen,ATL,2018,RHP,pitcher,AAA
138,Danny Reynolds,Danny,Reynolds,ATL,2018,RHP,pitcher,AAA
275,Joe Rogers,Joe,Rogers,ATL,2018,LHP,pitcher,Hi A
277,Joey Meneses,Joey,Meneses,ATL,2018,1B,batter,AA
335,Kyle Kubitza,Kyle,Kubitza,ATL,2018,3B,batter,AAA
487,Sean Kazmar,Sean,Kazmar,ATL,2018,SS,batter,AAA
180,Emerson Landoni,Emerson,Landoni,ATL,2018,SS,batter,AAA
382,Matt Tuiasosopo,Matt,Tuiasosopo,ATL,2018,OF,batter,AAA
407,Nate Adcock,Nate,Adcock,BAL,2018,RHP,pitcher,AAA
23,Andrew Bellatti,Andrew,Bellatti,BAL,2018,RHP,pitcher,AAA
57,Bobby Bundy,Bobby,Bundy,BAL,2018,RHP,pitcher,AAA
256,Jason Garcia,Jason,Garcia,BAL,2018,RHP,pitcher,AA
264,Jefri Hernandez,Jefri,Hernandez,BAL,2018,RHP,pitcher,AA
485,Scott McGough,Scott,McGough,BAL,2018,RHP,pitcher,AA
456,Richard Rodriguez,Richard,Rodriguez,BAL,2018,RHP,pitcher,AAA
203,Franderlin Romero,Franderlin,Romero,BAL,2018,RHP,pitcher,AA
317,Karl Triana,Karl,Triana,BAL,2018,RHP,pitcher,AA
47,Austin Urban,Austin,Urban,BAL,2018,RHP,pitcher,AA
537,Tyler Wilson,Tyler,Wilson,BAL,2018,RHP,pitcher,AAA
260,Jayson Aquino,Jayson,Aquino,BAL,2018,LHP,pitcher,AAA
509,Tim Berry,Tim,Berry,BAL,2018,LHP,pitcher,AA
24,Andrew Faulkner,Andrew,Faulkner,BAL,2018,LHP,pitcher,AAA
451,Raudel Lazo,Raudel,Lazo,BAL,2018,LHP,pitcher,AA
348,Lucas Luetge,Lucas,Luetge,BAL,2018,LHP,pitcher,AAA
432,Paco Rodriguez,Paco,Rodriguez,BAL,2018,LHP,pitcher,AAA
102,Chris O’Brien,Chris,O’Brien,BAL,2018,C,batter,AAA
43,Audry Perez,Audry,Perez,BAL,2018,C,batter,AA
9,Aderlin Rodriguez,Aderlin,Rodriguez,BAL,2018,1B,batter,AA
493,Sharlon Schoop,Sharlon,Schoop,BAL,2018,2B,batter,AAA
14,Alex Castellanos,Alex,Castellanos,BAL,2018,3B,batter,AAA
100,Chris Johnson,Chris,Johnson,BAL,2018,3B,batter,AAA
207,Garabez Rosa,Garabez,Rosa,BAL,2018,3B,batter,AA
460,Robert Andino,Robert,Andino,BAL,2018,SS,batter,AAA
213,Glynn Davis,Glynn,Davis,BAL,2018,OF,batter,AA
96,Chris Dickerson,Chris,Dickerson,BAL,2018,OF,batter,AAA
346,Logan Schafer,Logan,Schafer,BAL,2018,OF,batter,AAA
147,David Washington,David,Washington,BAL,2018,OF,batter,AAA
242,Jacob Dahlstrand,Jacob,Dahlstrand,BOS,2018,RHP,pitcher,AA
494,Shawn Haviland,Shawn,Haviland,BOS,2018,RHP,pitcher,AAA
401,Mitchell Osnowitz,Mitchell,Osnowitz,BOS,2018,RHP,pitcher,SS
177,Elih Villanueva,Elih,Villanueva,BOS,2018,RHP,pitcher,AA
169,Edgar Olmos,Edgar,Olmos,BOS,2018,LHP,pitcher,AAA
131,Dan Butler,Dan,Butler,BOS,2018,C,batter,AAA
512,Tim Roberson,Tim,Roberson,BOS,2018,C,batter,AAA
123,Conrad Gregor,Conrad,Gregor,BOS,2018,1B,batter,Hi A
222,Heiker Meneses,Heiker,Meneses,BOS,2018,2B,batter,AAA
